"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Argentina","Both sexes","138","137.55990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Argentina","Male","182","181.66690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Argentina","Female","92","92.42610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Argentina","Both sexes","137","137.07240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Argentina","Male","176","175.53680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Argentina","Female","93","93.46127","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Argentina","Both sexes","134","134.41740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Argentina","Male","166","166.09530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Argentina","Female","90","89.71063","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Argentina","Both sexes","128","127.75580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Argentina","Male","163","163.05570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Argentina","Female","87","86.96243","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Argentina","Both sexes","125","124.86810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Argentina","Male","162","162.17400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Argentina","Female","86","86.47810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Argentina","Both sexes","124","124.16680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Argentina","Male","165","165.08390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Argentina","Female","88","87.84988","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Argentina","Both sexes","126","126.30480","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Argentina","Male","162","161.64150","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Argentina","Female","86","85.56166","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Argentina","Both sexes","123","123.45860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Argentina","Male","158","158.49690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Argentina","Female","88","88.07132","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Argentina","Both sexes","123","123.06830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Argentina","Male","153","153.02400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Argentina","Female","85","84.75074","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Argentina","Both sexes","119","118.68720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Argentina","Male","152","152.36470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Argentina","Female","84","83.71267","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Argentina","Both sexes","118","117.87530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Argentina","Male","152","152.21430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Argentina","Female","83","83.44479","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Argentina","Both sexes","118","117.68610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Argentina","Male","151","150.80190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Argentina","Female","82","82.29555","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Argentina","Both sexes","116","116.46240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Argentina","Male","145","145.34990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Argentina","Female","80","80.35859","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Argentina","Both sexes","113","112.75530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Argentina","Male","145","145.08210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Argentina","Female","80","80.49507","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Argentina","Both sexes","113","112.74060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Argentina","Male","143","143.21850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Argentina","Female","80","79.70516","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Argentina","Both sexes","111","111.42880","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Armenia","Male","204","203.57810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Armenia","Female","91","91.20572","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Armenia","Both sexes","143","143.41260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Armenia","Male","202","202.38640","","",""
