"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2001","Europe","Upper-middle-income","Azerbaijan","5.57","5.57276","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2002","Europe","Upper-middle-income","Azerbaijan","5.15","5.15132","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2003","Europe","Upper-middle-income","Azerbaijan","4.80","4.80266","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2004","Europe","Upper-middle-income","Azerbaijan","5.92","5.92115","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2005","Europe","Upper-middle-income","Azerbaijan","5.15","5.15285","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2006","Europe","Upper-middle-income","Azerbaijan","4.27","4.27429","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2007","Europe","Upper-middle-income","Azerbaijan","4.57","4.56771","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2008","Europe","Upper-middle-income","Azerbaijan","3.07","3.07215","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2009","Europe","Upper-middle-income","Azerbaijan","4.54","4.53831","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2010","Europe","Upper-middle-income","Azerbaijan","4.22","4.21557","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2011","Europe","Upper-middle-income","Azerbaijan","3.66","3.65644","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","High-income","Belgium","11.44","11.44124","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Benin","9.67","9.67272","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Benin","10.72","10.72417","","",""
